step,actor/train/kl
1,-0.0007692016079090536
2,0.002333780750632286
3,0.0001323748438153416
4,0.00492013618350029
5,-0.000130412561702542
6,-0.006763477809727192
7,0.002034466015174985
8,0.0017850924050435424
9,0.0008906243601813912
10,0.0011458882363513112
11,-0.0017115867231041193
12,-0.013198447413742542
13,0.001404613140039146
14,0.0064215874299407005
15,5.577350748353638e-05
16,0.006729365326464176
17,-0.0009333008783869445
18,-0.0006331745535135269
19,0.007353557273745537
20,0.00017171725630760193
21,0.0035224715247750282
22,0.00016619267989881337
23,-0.002996147843077779
24,0.00220520724542439
25,-6.692588067380711e-05
26,-0.007071974687278271
27,0.0009455353138037026
28,-0.003806788008660078
29,-0.0012766491854563355
30,0.0045751468278467655
31,-0.012889890931546688
32,0.010553387925028801
33,-0.0011655379785224795
34,-0.010870378464460373
35,0.00013022078201174736
36,-0.0005836638156324625
37,-0.010656100697815418
38,0.0022167705465108156
39,0.003748350078240037
40,-0.010237881913781166
41,0.0009122554329223931
42,-0.003543568542227149
43,0.003927574492990971
44,-0.005564509425312281
45,-0.0040331450290977955
46,0.0044972519390285015
47,0.0001619232352823019
48,0.041915833950042725
49,0.009311197325587273
50,-0.0018196578603237867
51,0.0009702658862806857
52,0.0029293301049619913
53,-0.003818053286522627
54,-0.01610969379544258
55,0.0030611343681812286
56,-0.0008035660139285028
57,0.02542930468916893
58,-0.005101708695292473
59,0.0011425730772316456
60,0.018374664708971977
61,0.0007848087698221207
62,0.0010568437865003943
63,0.001456903642974794
64,-0.0011063284473493695
65,0.01753377541899681
66,0.006400789599865675
67,-7.264122541528195e-05
68,0.0021370085887610912
69,0.0007966614211909473
70,0.007160267326980829
71,-0.003468341426923871
72,0.01418987475335598
73,-0.004519337322562933
74,0.003966955002397299
75,0.0010938305640593171
76,0.011362394317984581
77,0.03530953824520111
78,0.022381752729415894
79,-0.010349680669605732
80,0.012013363651931286
81,0.045558445155620575
82,-0.0019045572262257338
83,0.004385222215205431
84,0.01047933753579855
85,0.004185217432677746
86,0.014786342158913612
87,0.026479290798306465
88,0.0162278451025486
89,0.015147291123867035
90,0.0007287765038199723
91,-0.0007636132068000734
92,0.022346902638673782
93,-0.004091532435268164
94,0.002866536844521761
95,0.0022090403363108635
96,0.002323305234313011
97,0.016490573063492775
98,0.02019003964960575
99,-0.0007266952306963503
100,0.003974824212491512
101,0.006466524675488472
102,0.006303679198026657
103,0.0066232988610863686
104,0.02772105485200882
105,0.00047700252616778016
106,-0.0024780642706900835
107,0.020205147564411163
108,0.0026022465899586678
109,-0.0012079037260264158
110,0.003280556993559003
111,0.0060674455016851425
112,0.004145764745771885
113,-0.0028927423991262913
